author,link,category,publication,tokens,words,types,links,uppercase,verbs,subjuntiveimperative,nouns,adjectives,adverbs,modalverbs,personalpronouns,pluralpersonalpronouns,pronouns,pausality,characters,sentencelength,wordlength,speelingerrors,emotiveness,diversity,fake_or_true
Por G1 Itapetininga e Região,https://g1.globo.com/sp/itapetininga-regiao/noticia/mulher-morre-esfaqueada-durante-briga-com-esposa-do-ex-marido-em-itaporanga.ghtml,politica,20/12/2017,155,134,82,None,1,27,0,35,2,7,10,0,0,1,2.1,608,13.4,4.53731,0.0,0.145161,0.61194,1
Josias Oliveirs,https://afolhabrasil.com.br/politica/sobrinho-atira-no-tio-apos-galinhas-comerem-seus-pes-de-maconha/,politica,2017-08-11,229,206,135,0,1,40,1,56,6,7,10,0,0,14,1.76923,912,15.8462,4.42718,0.0,0.135417,0.65534,0
Por G1 BA,https://g1.globo.com/bahia/noticia/para-proteger-avo-adolescente-atira-e-mata-o-pai-na-bahia-diz-policia.ghtml,politica,3/9/2017,321,282,153,None,0,47,0,85,6,8,6,0,0,12,3.0,1297,21.6923,4.59929,0.0,0.106061,0.542553,1
Josias Oliveira,https://afolhabrasil.com.br/politica/temer-esta-articulando-candidatura-de-doria-para-presidente-no-pmdb/,politica,2017-08-11,468,428,221,2,15,68,1,128,23,16,5,0,0,24,1.48148,2027,15.8519,4.73598,0.0,0.19898,0.516355,0
Vera Rosa,"http://politica.estadao.com.br/noticias/geral,por-2018-temer-quer-agenda-social,70002133341",politica,29/12/2017,1242,1077,563,None,18,142,10,336,56,41,11,1,0,47,3.66667,5074,23.9333,4.71124,0.000928505,0.202929,0.522748,1
Josias Oliveira,https://afolhabrasil.com.br/politica/deputada-maria-do-rosario-e-intimada-pelo-stf-em-processo-de-bolsonaro/,politica,2017-08-10,296,251,156,4,8,35,0,80,9,8,3,0,0,11,3.75,1183,20.9167,4.71315,0.0,0.147826,0.621514,0
Mariana Oliveira,https://g1.globo.com/politica/noticia/fux-intima-maria-do-rosario-a-depor-na-acao-em-que-bolsonaro-e-reu.ghtml,politica,23/8/2017,573,482,261,0,6,81,2,144,14,25,11,0,1,34,3.13793,2267,16.6207,4.70332,0.0,0.173333,0.541494,1
Josias Oliveira,https://afolhabrasil.com.br/politica/ciro-gomes-ataca-bolsonaro-doria-dilma-e-lula/,politica,2017-08-10,751,656,346,0,16,112,5,176,31,35,18,3,1,49,3.06452,3072,21.1613,4.68293,0.00457317,0.229167,0.527439,0
Thais Bilenky,http://www1.folha.uol.com.br/poder/2017/12/1946006-elite-brasileira-tem-de-ter-menos-espirito-de-miami-diz-flavio-dino.shtml,politica,26/12/2017,1181,1002,532,None,8,183,8,265,57,71,20,4,0,75,2.55714,4562,14.3143,4.55289,0.00299401,0.285714,0.530938,1
Josias Oliveira,https://afolhabrasil.com.br/politica/joao-doria-esta-deixando-o-psdb-saiba-qual-sera-o-novo-partido/,politica,2017-08-09,343,311,194,0,11,43,1,98,22,10,5,0,0,14,2.0,1506,19.4375,4.84244,0.0,0.22695,0.623794,0
G1 SP,https://g1.globo.com/sp/sao-paulo/noticia/doria-chama-de-injusta-homenagem-viaduto-com-nome-de-marisa-leticia.ghtml,politica,1/1/2018,673,602,283,None,4,84,1,180,27,17,12,0,0,22,3.22727,2877,27.3636,4.77907,0.0,0.166667,0.4701,1
Josias Oliveira,https://afolhabrasil.com.br/politica/movimento-ovos-na-cara-e-versao-atualizada-do-movimento-cara-pintada/,politica,2017-08-08,470,421,240,0,5,69,2,126,21,15,5,0,0,21,1.81481,1928,15.5926,4.57957,0.0,0.184615,0.570071,0
G1 SP,https://g1.globo.com/sao-paulo/noticia/apos-ovada-doria-posta-foto-de-deposito-de-ovos-e-diz-armamento-pesado.ghtml,politica,9/8/2017,286,245,145,None,1,38,2,77,13,4,5,0,2,13,3.15385,1134,18.8462,4.62857,0.0,0.147826,0.591837,1
Josias Oliveira,https://afolhabrasil.com.br/politica/deus-mandou-votar-favor-de-temer-disseram-deputados-evangelicos/,politica,2017-08-06,227,194,136,0,3,30,1,62,9,9,3,0,0,12,3.3,1010,19.4,5.20619,0.0,0.195652,0.701031,0
Luiza Garonce,https://g1.globo.com/distrito-federal/noticia/bancada-evangelica-na-camara-do-df-pede-revogacao-de-politica-cultural-lgbti.ghtml,politica,2/10/2017,866,742,349,None,19,114,12,209,52,28,16,0,0,36,3.75758,3952,22.4848,5.32615,0.00269542,0.247678,0.47035,1
Josias Oliveira,https://afolhabrasil.com.br/politica/deputada-chamada-de-gostosa-no-plenario-vai-processar-deputado-tarado/,politica,2017-08-05,201,175,118,0,6,28,1,54,12,4,6,1,0,9,2.6,850,17.5,4.85714,0.0,0.195122,0.674286,0
Fabiana Figueiredo,https://g1.globo.com/ap/amapa/noticia/roberto-goes-do-pdt-e-o-deputado-do-ap-que-mais-faltou-na-camara-em-2017.ghtml,politica,27/12/2017,545,449,228,None,3,62,0,134,17,21,3,2,0,25,3.84,2200,17.96,4.89978,0.00222717,0.193878,0.507795,1
Josias Oliveira,https://afolhabrasil.com.br/politica/temer-vai-punir-sergio-reis-e-tiririca-por-traicao/,politica,2017-08-04,377,333,193,0,10,55,2,97,7,20,8,4,0,22,2.44444,1537,18.5,4.61562,0.0,0.177632,0.57958,0
Eliane Cantanhêde,http://politica.estadao.com.br/blogs/eliane-cantanhede/sergio-moraes-e-pastor-josue-cotados-para-o-trabalho/,politica,2/1/2018,318,286,171,None,3,32,1,93,7,13,1,0,0,12,3.2,1391,28.6,4.86364,0.0,0.16,0.597902,1
Josias Oliveira,https://afolhabrasil.com.br/politica/deputado-tiririca-temer-nao-comprou-minha-honra/,politica,2017-08-02,229,204,139,0,1,41,0,51,10,15,6,6,0,26,1.31579,950,10.7368,4.65686,0.0,0.271739,0.681373,0
Fernanda Calgaro,https://g1.globo.com/politica/noticia/tiririca-se-diz-com-vergonha-da-politica-e-afirma-que-nao-deve-disputar-mais-eleicoes.ghtml,politica,6/12/2017,578,464,229,None,2,105,0,101,25,39,15,4,0,42,3.8,2212,15.4667,4.76724,0.00215517,0.31068,0.493534,1
Josias Oliveira,https://afolhabrasil.com.br/politica/pepe-e-nenem-apoiam-bolsonaro-e-viram-alvo-de-odio-dos-movimentos-gay-e-negro/,politica,2017-08-02,524,450,252,0,4,104,5,105,24,22,20,1,1,51,2.96,1999,18.0,4.44222,0.013245,0.220096,0.56,0
Adriana Ferraz E Ricardo Galhardo,"http://politica.estadao.com.br/noticias/geral,alckmin-busca-resgatar-discurso-social-tucano,70002045118",politica,15/10/2017,1005,872,460,None,17,107,0,283,50,35,13,0,1,35,3.69444,4325,24.2222,4.95986,0.00458716,0.217949,0.527523,1
Josias Oliveira,https://afolhabrasil.com.br/politica/veja-quem-sera-o-polemico-vice-de-bolsonaro-nas-eleicoes-2018/,politica,2017-07-31,371,305,186,0,7,57,4,86,15,14,9,1,0,26,2.75,1460,12.7083,4.78689,0.0,0.202797,0.609836,0
Thiago Faria,"http://politica.estadao.com.br/noticias/geral,magno-malta-usa-cpi-para-se-cacifar-como-vice-de-bolsonaro,70002114614",politica,10/12/2017,725,630,342,None,15,111,1,188,29,32,16,0,1,31,3.39286,3077,22.5,4.88413,0.0,0.204013,0.542857,1
Josias Oliveira,https://afolhabrasil.com.br/politica/lula-morreu-pesquisa-mostra-como-lula-morreu-politicamente/,politica,2017-07-30,558,491,266,0,2,81,4,123,22,38,8,0,0,28,2.68,2403,19.64,4.89409,0.00202429,0.294118,0.541752,0
Andreza Matais,http://politica.estadao.com.br/blogs/coluna-do-estadao/centro-ataca-populismo-contra-lula-e-bolsonaro/,politica,2/1/2018,681,585,367,None,23,69,4,200,31,12,6,1,0,24,2.52632,2942,15.3947,5.02906,0.0102564,0.159851,0.62735,1
Folha do Brasil,https://afolhabrasil.com.br/politica/rivotril-mata-mais-que-cocaina-cuidado/,sociedade_cotidiano,2017-07-24,333,289,183,0,3,56,2,82,16,16,12,0,0,22,2.31579,1486,15.2105,5.14187,0.0,0.231884,0.633218,0
Alexa Salomão,"http://saude.estadao.com.br/noticias/geral,um-ano-apos-1-caso-oficial-de-zika--microcefalia-faz-bebe-tomar-ate-rivotril,10000026444",sociedade_cotidiano,17/04/2016,1079,892,477,None,13,170,1,234,48,68,19,5,0,48,2.46053,4081,11.7368,4.57511,0.00672646,0.287129,0.534753,1
Josias Oliveira,https://afolhabrasil.com.br/politica/bolsonaro-esculacha-jornalista-da-veja/,politica,2017-07-23,805,714,384,0,5,152,10,157,42,40,17,16,2,95,1.93617,3217,15.1915,4.5056,0.0,0.265372,0.537815,0
Alberto Bombig E Pedro Venceslau,"http://politica.estadao.com.br/noticias/geral,para-fhc-alckmin-precisa-provar-que-pode-unir-centro,70002135794",politica,2/1/2018,997,867,398,None,7,185,29,204,45,51,16,2,1,95,2.03125,3978,13.5469,4.58824,0.0,0.246787,0.459054,1
Josias Oliveira,https://afolhabrasil.com.br/politica/jean-wyllys-acusa-juiz-sergio-moro-de-preconceito-e-pode-perder-mandato/,politica,2017-07-14,338,303,167,0,2,51,1,91,19,11,9,0,0,15,2.1875,1406,18.9375,4.64026,0.0,0.211268,0.551155,0
None,http://www1.folha.uol.com.br/poder/2017/05/1884891-conselho-de-etica-abre-apuracao-sobre-conduta-de-eduardo-bolsonaro.shtml,politica,17/5/2017,252,231,139,None,6,31,0,75,9,3,6,0,0,5,1.90909,1194,21.0,5.16883,0.0,0.113208,0.601732,1
Josias Oliveira,https://afolhabrasil.com.br/politica/quatro-ex-presidentes-presos-ate-2019-e-o-que-lava-jato-esta-preparando/,politica,2017-07-13,571,534,292,2,5,76,4,152,30,24,16,0,0,34,1.48,2580,21.36,4.83146,0.0,0.236842,0.546816,0
Luana Pavani,"http://economia.estadao.com.br/noticias/geral,petrobras-propoe-pagamento-de-us-2-95-bi-para-encerrar-acao-nos-eua,70002136962",politica,3/1/2018,451,407,220,None,8,49,2,119,25,11,4,0,0,18,3.38462,1963,31.3077,4.8231,0.004914,0.214286,0.540541,1
Josias Oliveira,https://afolhabrasil.com.br/politica/se-lula-for-preso-nos-vamos-incendiar-o-brasil-diz-lider-da-esquerda/,politica,2017-07-12,370,330,191,0,4,60,5,101,14,12,14,0,3,15,1.48148,1585,12.2222,4.80303,0.0,0.161491,0.578788,0
G1 RS,https://g1.globo.com/rs/rio-grande-do-sul/noticia/juiz-determina-area-para-manifestantes-e-proibe-acampamento-do-mst-durante-julgamento-de-lula-em-porto-alegre.ghtml,politica,29/12/2017,1205,1069,477,None,21,142,11,306,53,37,33,0,0,22,3.48718,5271,27.4103,4.93078,0.000935454,0.200893,0.446211,1
Josias Oliveira,https://afolhabrasil.com.br/politica/urgente-moro-acaba-de-condenar-lula-primeiro-ex-presidente-atras-das-grades/,politica,2017-07-12,459,419,233,6,13,64,2,128,20,14,9,0,0,12,2.10526,2041,22.0526,4.87112,0.0,0.177083,0.556086,0
Letícia Casado E Daniel Carvalho,http://www1.folha.uol.com.br/poder/2018/01/1947266-tse-tera-composicao-mais-linha-dura-durante-a-eleicao.shtml,politica,1/1/2018,847,742,362,None,24,94,5,241,31,19,13,0,0,32,3.08824,3466,21.8235,4.67116,0.0,0.149254,0.487871,1
Josias Oliveira,https://afolhabrasil.com.br/politica/ex-namorada-humilha-eduardo-bolsonaro/,politica,2017-07-12,216,191,130,0,2,42,0,50,10,10,12,1,0,7,2.27273,990,17.3636,5.18325,0.00515464,0.217391,0.680628,0
Wálter Nunes,http://www1.folha.uol.com.br/poder/2017/11/1934918-na-onda-da-lava-jato-policiais-federais-planejam-se-candidatar-em-18-estados.shtml,politica,13/11/2017,805,715,406,None,15,98,3,227,31,28,12,0,0,33,2.25,3499,17.875,4.89371,0.0013986,0.181538,0.567832,1
Josias Oliveira,https://afolhabrasil.com.br/politica/dilma-e-jean-willys-viraram-professores-em-universidade-federal/,politica,2017-07-12,297,264,165,0,9,39,3,80,7,3,4,0,2,10,2.35714,1284,18.8571,4.86364,0.0,0.0840336,0.625,0
"Ranier Bragon, Angela Boldrini, Natália Cancian, Rubens Valente",http://www1.folha.uol.com.br/poder/2017/09/1921276-pautas-de-vies-conservador-avancam-na-gestao-de-michel-temer.shtml,politica,24/9/2017,2029,1754,821,None,28,212,4,585,110,42,19,0,0,77,4.36508,9143,27.8413,5.21266,0.000570125,0.190715,0.468073,1
Josias Oliveira,https://afolhabrasil.com.br/politica/lula-e-corrupto-afirma-laudo-da-policia-federal/,politica,2017-07-07,859,754,381,3,18,115,6,223,49,37,19,0,0,36,3.08824,3997,22.1765,5.30106,0.0,0.254438,0.505305,0
"José Marques, Renan Marra, Ana Luiza Albuquerque",http://www1.folha.uol.com.br/poder/2017/12/1947097-tribunal-julga-caso-de-lula-com-a-rapidez-de-acoes-mais-simples.shtml,politica,31/12/2017,1079,957,433,None,13,132,2,286,33,49,26,0,0,38,2.83721,4555,22.2558,4.75967,0.0,0.196172,0.452456,1
Josias Oliveira,https://afolhabrasil.com.br/politica/bolsonaro-ja-tem-novo-partido-para-concorrer-presidencia/,politica,2017-07-07,280,241,147,0,11,36,2,77,14,6,10,0,0,9,2.4375,1177,15.0625,4.88382,0.0,0.176991,0.609959,0
G1 Ribeirão e Franca,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/jair-bolsonaro-e-hostilizado-com-ovada-durante-visita-a-ribeirao-preto.ghtml,politica,17/8/2017,372,323,189,None,11,61,0,95,12,8,8,2,0,16,3.5,1526,23.0714,4.72446,0.00309598,0.128205,0.585139,1
Josias Oliveira,https://afolhabrasil.com.br/politica/temer-tirou-verba-da-policia-federal-para-salvar-o-mandato/,politica,2017-07-06,340,296,174,0,2,52,4,81,5,16,8,0,0,17,2.93333,1400,19.7333,4.72973,0.00668896,0.157895,0.587838,0
"Rosanne Dagostino,",https://g1.globo.com/rj/rio-de-janeiro/noticia/carmen-lucia-nega-liberdade-ao-deputado-estadual-edson-albertassi.ghtml,politica,2/1/2018,538,485,230,None,11,58,1,163,16,12,9,0,0,11,2.78947,2465,25.5263,5.08247,0.0,0.126697,0.474227,1
Josias Olveira,https://afolhabrasil.com.br/politica/imprensa-americana-aponta-bolsonaro-como-proximo-presidente-do-brasil/,politica,2017-07-05,913,804,406,0,4,133,4,209,54,46,23,6,0,64,2.47727,4003,18.2727,4.97886,0.0,0.292398,0.504975,0
Agência EFE,https://g1.globo.com/mundo/noticia/trump-critica-meios-de-comunicacao-por-cobertura-da-reforma-tributaria.ghtml,politica,20/12/2017,312,266,172,None,2,32,0,78,27,12,3,0,0,17,4.18182,1420,24.1818,5.33835,0.0,0.354545,0.646617,1
